date,date_sk,day,month,quarter,year,week
2025-01-01,1,1,1,1,2025,1
2025-01-02,2,2,1,1,2025,1
2025-01-03,3,3,1,1,2025,1
2025-01-04,4,4,1,1,2025,1
2025-01-05,5,5,1,1,2025,1
2025-01-06,6,6,1,1,2025,2
2025-01-07,7,7,1,1,2025,2
2025-01-08,8,8,1,1,2025,2
2025-01-09,9,9,1,1,2025,2
2025-01-10,10,10,1,1,2025,2
2025-01-11,11,11,1,1,2025,2
2025-01-12,12,12,1,1,2025,2
2025-01-13,13,13,1,1,2025,3
2025-01-14,14,14,1,1,2025,3
2025-01-15,15,15,1,1,2025,3
2025-01-16,16,16,1,1,2025,3
2025-01-17,17,17,1,1,2025,3
2025-01-18,18,18,1,1,2025,3
2025-01-19,19,19,1,1,2025,3
2025-01-20,20,20,1,1,2025,4
2025-01-21,21,21,1,1,2025,4
2025-01-22,22,22,1,1,2025,4
2025-01-23,23,23,1,1,2025,4
2025-01-24,24,24,1,1,2025,4
2025-01-25,25,25,1,1,2025,4
2025-01-26,26,26,1,1,2025,4
2025-01-27,27,27,1,1,2025,5
2025-01-28,28,28,1,1,2025,5
2025-01-29,29,29,1,1,2025,5
2025-01-30,30,30,1,1,2025,5
2025-01-31,31,31,1,1,2025,5
2025-02-01,32,1,2,1,2025,5
2025-02-02,33,2,2,1,2025,5
2025-02-03,34,3,2,1,2025,6
2025-02-04,35,4,2,1,2025,6
2025-02-05,36,5,2,1,2025,6
2025-02-06,37,6,2,1,2025,6
2025-02-07,38,7,2,1,2025,6
2025-02-08,39,8,2,1,2025,6
2025-02-09,40,9,2,1,2025,6
2025-02-10,41,10,2,1,2025,7
2025-02-11,42,11,2,1,2025,7
2025-02-12,43,12,2,1,2025,7
2025-02-13,44,13,2,1,2025,7
2025-02-14,45,14,2,1,2025,7
2025-02-15,46,15,2,1,2025,7
2025-02-16,47,16,2,1,2025,7
2025-02-17,48,17,2,1,2025,8
2025-02-18,49,18,2,1,2025,8
2025-02-19,50,19,2,1,2025,8
2025-02-20,51,20,2,1,2025,8
2025-02-21,52,21,2,1,2025,8
2025-02-22,53,22,2,1,2025,8
2025-02-23,54,23,2,1,2025,8
2025-02-24,55,24,2,1,2025,9
2025-02-25,56,25,2,1,2025,9
2025-02-26,57,26,2,1,2025,9
2025-02-27,58,27,2,1,2025,9
2025-02-28,59,28,2,1,2025,9
2025-03-01,60,1,3,1,2025,9
2025-03-02,61,2,3,1,2025,9
2025-03-03,62,3,3,1,2025,10
2025-03-04,63,4,3,1,2025,10
2025-03-05,64,5,3,1,2025,10
2025-03-06,65,6,3,1,2025,10
2025-03-07,66,7,3,1,2025,10
2025-03-08,67,8,3,1,2025,10
2025-03-09,68,9,3,1,2025,10
2025-03-10,69,10,3,1,2025,11
2025-03-11,70,11,3,1,2025,11
2025-03-12,71,12,3,1,2025,11
2025-03-13,72,13,3,1,2025,11
2025-03-14,73,14,3,1,2025,11
2025-03-15,74,15,3,1,2025,11
2025-03-16,75,16,3,1,2025,11
2025-03-17,76,17,3,1,2025,12
2025-03-18,77,18,3,1,2025,12
2025-03-19,78,19,3,1,2025,12
2025-03-20,79,20,3,1,2025,12
2025-03-21,80,21,3,1,2025,12
2025-03-22,81,22,3,1,2025,12
2025-03-23,82,23,3,1,2025,12
2025-03-24,83,24,3,1,2025,13
2025-03-25,84,25,3,1,2025,13
2025-03-26,85,26,3,1,2025,13
2025-03-27,86,27,3,1,2025,13
2025-03-28,87,28,3,1,2025,13
2025-03-29,88,29,3,1,2025,13
2025-03-30,89,30,3,1,2025,13
2025-03-31,90,31,3,1,2025,14
2025-04-01,91,1,4,2,2025,14
2025-04-02,92,2,4,2,2025,14
2025-04-03,93,3,4,2,2025,14
2025-04-04,94,4,4,2,2025,14
2025-04-05,95,5,4,2,2025,14
2025-04-06,96,6,4,2,2025,14
2025-04-07,97,7,4,2,2025,15
2025-04-08,98,8,4,2,2025,15
2025-04-09,99,9,4,2,2025,15
2025-04-10,100,10,4,2,2025,15
2025-04-11,101,11,4,2,2025,15
2025-04-12,102,12,4,2,2025,15
2025-04-13,103,13,4,2,2025,15
2025-04-14,104,14,4,2,2025,16
2025-04-15,105,15,4,2,2025,16
2025-04-16,106,16,4,2,2025,16
2025-04-17,107,17,4,2,2025,16
2025-04-18,108,18,4,2,2025,16
2025-04-19,109,19,4,2,2025,16
2025-04-20,110,20,4,2,2025,16
2025-04-21,111,21,4,2,2025,17
2025-04-22,112,22,4,2,2025,17
2025-04-23,113,23,4,2,2025,17
2025-04-24,114,24,4,2,2025,17
2025-04-25,115,25,4,2,2025,17
2025-04-26,116,26,4,2,2025,17
2025-04-27,117,27,4,2,2025,17
2025-04-28,118,28,4,2,2025,18
2025-04-29,119,29,4,2,2025,18
2025-04-30,120,30,4,2,2025,18
2025-05-01,121,1,5,2,2025,18
2025-05-02,122,2,5,2,2025,18
2025-05-03,123,3,5,2,2025,18
2025-05-04,124,4,5,2,2025,18
2025-05-05,125,5,5,2,2025,19
2025-05-06,126,6,5,2,2025,19
2025-05-07,127,7,5,2,2025,19
2025-05-08,128,8,5,2,2025,19
2025-05-09,129,9,5,2,2025,19
2025-05-10,130,10,5,2,2025,19
2025-05-11,131,11,5,2,2025,19
2025-05-12,132,12,5,2,2025,20
2025-05-13,133,13,5,2,2025,20
2025-05-14,134,14,5,2,2025,20
2025-05-15,135,15,5,2,2025,20
2025-05-16,136,16,5,2,2025,20
2025-05-17,137,17,5,2,2025,20
2025-05-18,138,18,5,2,2025,20
2025-05-19,139,19,5,2,2025,21
2025-05-20,140,20,5,2,2025,21
2025-05-21,141,21,5,2,2025,21
2025-05-22,142,22,5,2,2025,21
2025-05-23,143,23,5,2,2025,21
2025-05-24,144,24,5,2,2025,21
2025-05-25,145,25,5,2,2025,21
2025-05-26,146,26,5,2,2025,22
2025-05-27,147,27,5,2,2025,22
2025-05-28,148,28,5,2,2025,22
2025-05-29,149,29,5,2,2025,22
2025-05-30,150,30,5,2,2025,22
2025-05-31,151,31,5,2,2025,22
2025-06-01,152,1,6,2,2025,22
2025-06-02,153,2,6,2,2025,23
2025-06-03,154,3,6,2,2025,23
2025-06-04,155,4,6,2,2025,23
2025-06-05,156,5,6,2,2025,23
2025-06-06,157,6,6,2,2025,23
2025-06-07,158,7,6,2,2025,23
2025-06-08,159,8,6,2,2025,23
2025-06-09,160,9,6,2,2025,24
2025-06-10,161,10,6,2,2025,24
2025-06-11,162,11,6,2,2025,24
2025-06-12,163,12,6,2,2025,24
2025-06-13,164,13,6,2,2025,24
2025-06-14,165,14,6,2,2025,24
2025-06-15,166,15,6,2,2025,24
2025-06-16,167,16,6,2,2025,25
2025-06-17,168,17,6,2,2025,25
2025-06-18,169,18,6,2,2025,25
2025-06-19,170,19,6,2,2025,25
2025-06-20,171,20,6,2,2025,25
2025-06-21,172,21,6,2,2025,25
2025-06-22,173,22,6,2,2025,25
