date_sk,machine_sk,shift_sk,product_sk,units_good,units_scrap,units_total,ideal_rate_per_min,planned_minutes
1,1,1,37,464,35,499,1.2,480
1,1,2,16,348,51,399,1.2,480
1,1,3,1,781,80,861,1.5,480
1,2,1,29,421,30,451,0.8,480
1,2,2,1,598,13,611,1.5,480
1,2,3,39,728,20,748,1.0,480
1,3,1,21,624,59,683,1.5,480
1,3,2,19,254,9,263,1.5,480
1,3,3,22,567,74,641,1.2,480
1,4,1,26,558,8,566,1.0,480
1,4,2,3,558,26,584,1.5,480
1,4,3,16,689,41,730,1.2,480
1,5,2,16,463,41,504,1.2,480
1,5,3,22,605,86,691,1.2,480
1,6,1,7,414,14,428,1.0,480
1,6,2,34,258,15,273,1.0,480
1,6,3,39,204,20,224,1.0,480
1,7,1,20,724,10,734,1.5,480
1,7,2,27,707,89,796,0.8,480
1,8,2,12,287,24,311,1.5,480
1,9,1,8,229,6,235,1.0,480
1,9,3,24,541,4,545,1.0,480
1,10,1,16,327,11,338,1.2,480
1,10,2,39,725,61,786,1.0,480
1,10,3,19,486,23,509,1.5,480
1,11,1,3,215,23,238,1.5,480
1,11,2,15,744,13,757,1.2,480
1,12,1,30,456,5,461,1.5,480
1,12,3,21,234,20,254,1.5,480
1,13,1,35,413,55,468,0.8,480
1,13,2,21,673,90,763,1.5,480
1,13,3,17,760,35,795,1.2,480
1,14,1,1,645,77,722,1.5,480
1,14,2,34,451,56,507,1.0,480
1,14,3,33,719,67,786,0.8,480
1,15,1,39,507,6,513,1.0,480
1,15,2,30,315,9,324,1.5,480
1,15,3,5,307,18,325,1.0,480
2,1,2,14,791,40,831,1.0,480
2,1,3,4,771,25,796,0.8,480
2,2,2,18,770,59,829,1.2,480
2,3,1,24,548,68,616,1.0,480
2,3,3,18,628,86,714,1.2,480
2,4,1,10,457,11,468,1.2,480
2,4,3,21,671,80,751,1.5,480
2,5,1,13,630,12,642,1.0,480
2,5,3,26,571,33,604,1.0,480
2,6,1,7,230,15,245,1.0,480
2,6,3,9,555,9,564,1.0,480
2,7,1,37,487,12,499,1.2,480
2,7,2,24,425,19,444,1.0,480
2,8,1,10,576,35,611,1.2,480
2,8,2,26,640,5,645,1.0,480
2,8,3,1,658,68,726,1.5,480
2,9,1,33,704,11,715,0.8,480
2,9,3,30,726,96,822,1.5,480
2,10,2,21,302,1,303,1.5,480
2,10,3,11,351,36,387,1.0,480
2,11,1,10,783,66,849,1.2,480
2,11,2,13,554,9,563,1.0,480
2,11,3,7,252,0,252,1.0,480
2,12,1,23,763,97,860,1.2,480
2,12,2,22,462,45,507,1.2,480
2,12,3,10,314,35,349,1.2,480
2,13,1,23,342,40,382,1.2,480
2,14,1,24,403,50,453,1.0,480
2,14,2,13,380,35,415,1.0,480
2,14,3,13,388,38,426,1.0,480
2,15,1,35,382,7,389,0.8,480
2,15,2,31,729,54,783,1.2,480
2,15,3,8,431,40,471,1.0,480
3,1,1,32,257,17,274,0.8,480
3,1,2,27,747,92,839,0.8,480
3,1,3,15,396,4,400,1.2,480
3,2,3,29,408,1,409,0.8,480
3,3,1,27,328,8,336,0.8,480
3,3,3,23,297,11,308,1.2,480
3,4,1,40,594,52,646,1.5,480
