prod_date,machine_id,shift_id,sku,units_good,units_scrap
2025-01-01,1,1,SKU037,464,35
2025-01-01,1,2,SKU016,348,51
2025-01-01,1,3,SKU001,781,80
2025-01-01,2,1,SKU029,421,30
2025-01-01,2,2,SKU001,598,13
2025-01-01,2,3,SKU039,728,20
2025-01-01,3,1,SKU021,624,59
2025-01-01,3,2,SKU019,254,9
2025-01-01,3,3,SKU022,567,74
2025-01-01,4,1,SKU026,558,8
2025-01-01,4,2,SKU003,558,26
2025-01-01,4,3,SKU016,689,41
2025-01-01,5,2,SKU016,463,41
2025-01-01,5,3,SKU022,605,86
2025-01-01,6,1,SKU007,414,14
2025-01-01,6,2,SKU034,258,15
2025-01-01,6,3,SKU039,204,20
2025-01-01,7,1,SKU020,724,10
2025-01-01,7,2,SKU027,707,89
2025-01-01,8,2,SKU012,287,24
2025-01-01,9,1,SKU008,229,6
2025-01-01,9,3,SKU024,541,4
2025-01-01,10,1,SKU016,327,11
2025-01-01,10,2,SKU039,725,61
2025-01-01,10,3,SKU019,486,23
2025-01-01,11,1,SKU003,215,23
2025-01-01,11,2,SKU015,744,13
2025-01-01,12,1,SKU030,456,5
2025-01-01,12,3,SKU021,234,20
2025-01-01,13,1,SKU035,413,55
2025-01-01,13,2,SKU021,673,90
2025-01-01,13,3,SKU017,760,35
2025-01-01,14,1,SKU001,645,77
2025-01-01,14,2,SKU034,451,56
2025-01-01,14,3,SKU033,719,67
2025-01-01,15,1,SKU039,507,6
2025-01-01,15,2,SKU030,315,9
2025-01-01,15,3,SKU005,307,18
2025-01-02,1,2,SKU014,791,40
2025-01-02,1,3,SKU004,771,25
2025-01-02,2,2,SKU018,770,59
2025-01-02,3,1,SKU024,548,68
2025-01-02,3,3,SKU018,628,86
2025-01-02,4,1,SKU010,457,11
2025-01-02,4,3,SKU021,671,80
2025-01-02,5,1,SKU013,630,12
2025-01-02,5,3,SKU026,571,33
2025-01-02,6,1,SKU007,230,15
2025-01-02,6,3,SKU009,555,9
2025-01-02,7,1,SKU037,487,12
2025-01-02,7,2,SKU024,425,19
2025-01-02,8,1,SKU010,576,35
2025-01-02,8,2,SKU026,640,5
2025-01-02,8,3,SKU001,658,68
2025-01-02,9,1,SKU033,704,11
2025-01-02,9,3,SKU030,726,96
