down_date,machine_id,failure_mode,minutes_down
2025-01-01,1,Setup,25
2025-01-01,1,Breakdown,25
2025-01-01,3,Setup,51
2025-01-01,4,Breakdown,22
2025-01-01,4,Material,72
2025-01-01,6,Plannedmaintenance,42
2025-01-01,6,Quality,14
2025-01-01,7,Breakdown,12
2025-01-01,7,Material,89
2025-01-01,8,Plannedmaintenance,25
2025-01-01,8,Plannedmaintenance,20
2025-01-01,9,Quality,78
2025-01-01,10,Breakdown,59
2025-01-01,10,Breakdown,41
2025-01-01,13,Breakdown,30
2025-01-01,13,Setup,73
2025-01-01,15,Quality,17
2025-01-01,15,Quality,22
2025-01-02,1,Breakdown,53
2025-01-02,2,Breakdown,53
2025-01-02,2,Quality,57
2025-01-02,3,Setup,39
2025-01-02,3,Material,55
2025-01-02,4,Setup,69
2025-01-02,5,Setup,88
2025-01-02,5,Setup,88
2025-01-02,6,Material,57
2025-01-02,6,Breakdown,21
2025-01-02,8,Quality,28
2025-01-02,8,Material,60
2025-01-02,9,Plannedmaintenance,81
2025-01-02,9,Breakdown,65
2025-01-02,12,Material,88
2025-01-02,12,Plannedmaintenance,39
2025-01-02,13,Quality,55
2025-01-02,13,Material,74
2025-01-02,14,Setup,68
2025-01-02,15,Breakdown,78
2025-01-02,15,Material,42
2025-01-03,2,Plannedmaintenance,42
2025-01-03,6,Breakdown,69
2025-01-03,6,Breakdown,50
2025-01-03,7,Material,40
2025-01-03,8,Breakdown,67
2025-01-03,8,Setup,75
2025-01-03,9,Setup,22
2025-01-03,10,Plannedmaintenance,39
2025-01-03,11,Quality,22
2025-01-03,11,Breakdown,72
2025-01-03,14,Material,87
2025-01-03,14,Plannedmaintenance,71
2025-01-03,15,Setup,66
2025-01-03,15,Breakdown,21
2025-01-04,1,Plannedmaintenance,75
2025-01-04,1,Breakdown,43
2025-01-04,3,Breakdown,49
2025-01-04,4,Breakdown,72
2025-01-04,5,Breakdown,18
2025-01-04,8,Plannedmaintenance,49
2025-01-04,10,Plannedmaintenance,25
2025-01-04,10,Breakdown,73
2025-01-04,11,Quality,12
2025-01-04,11,Material,22
2025-01-04,12,Breakdown,86
2025-01-04,12,Setup,74
2025-01-04,13,Quality,84
2025-01-04,15,Material,56
2025-01-04,15,Breakdown,70
2025-01-05,1,Breakdown,51
2025-01-05,1,Breakdown,10
2025-01-05,3,Setup,21
2025-01-05,4,Setup,67
2025-01-05,5,Breakdown,63
2025-01-05,5,Material,45
2025-01-05,7,Breakdown,19
2025-01-05,9,Material,82
2025-01-05,9,Breakdown,47
2025-01-05,10,Setup,79
2025-01-05,10,Setup,46
2025-01-05,11,Breakdown,80
2025-01-05,11,Breakdown,37
2025-01-05,12,Quality,82
2025-01-05,14,Setup,37
2025-01-05,15,Quality,79
2025-01-06,1,Breakdown,18
2025-01-06,2,Material,13
2025-01-06,2,Material,80
2025-01-06,3,Setup,62
2025-01-06,4,Breakdown,84
2025-01-06,5,Setup,58
2025-01-06,5,Breakdown,88
2025-01-06,6,Breakdown,59
2025-01-06,6,Material,45
2025-01-06,7,Material,40
2025-01-06,9,Breakdown,34
2025-01-06,9,Breakdown,60
2025-01-06,11,Breakdown,36
2025-01-06,12,Breakdown,73
2025-01-06,12,Breakdown,19
2025-01-07,1,Setup,35
2025-01-07,1,Setup,33
2025-01-07,3,Setup,37
2025-01-07,3,Material,11
2025-01-07,4,Quality,17
2025-01-07,5,Material,27
2025-01-07,5,Material,76
2025-01-07,6,Breakdown,85
2025-01-07,7,Material,57
2025-01-07,10,Plannedmaintenance,88
2025-01-07,10,Material,15
2025-01-07,11,Breakdown,41
2025-01-07,12,Breakdown,87
2025-01-07,12,Breakdown,15
2025-01-07,13,Setup,48
2025-01-07,13,Plannedmaintenance,28
2025-01-07,14,Quality,81
2025-01-07,15,Quality,28
2025-01-07,15,Setup,13
2025-01-08,2,Material,40
2025-01-08,2,Breakdown,78
2025-01-08,3,Plannedmaintenance,22
2025-01-08,3,Quality,33
2025-01-08,5,Setup,28
2025-01-08,5,Quality,27
2025-01-08,6,Material,15
2025-01-08,6,Material,80
2025-01-08,8,Material,82
2025-01-08,8,Quality,33
2025-01-08,9,Breakdown,16
2025-01-08,9,Breakdown,88
2025-01-08,12,Material,60
2025-01-08,12,Breakdown,32
2025-01-08,13,Breakdown,20
2025-01-08,14,Plannedmaintenance,57
2025-01-08,14,Quality,45
2025-01-08,15,Plannedmaintenance,88
2025-01-09,1,Material,87
2025-01-09,1,Breakdown,37
2025-01-09,4,Material,48
2025-01-09,5,Breakdown,55
2025-01-09,5,Setup,50
2025-01-09,7,Material,87
2025-01-09,8,Quality,45
2025-01-09,8,Quality,71
2025-01-09,9,Material,88
2025-01-09,9,Quality,17
2025-01-09,11,Breakdown,76
2025-01-09,12,Material,57
2025-01-09,14,Breakdown,82
2025-01-10,1,Breakdown,29
2025-01-10,2,Setup,80
2025-01-10,2,Breakdown,10
2025-01-10,3,Breakdown,55
2025-01-10,5,Plannedmaintenance,42
2025-01-10,5,Breakdown,11
2025-01-10,6,Breakdown,47
2025-01-10,7,Breakdown,15
2025-01-10,7,Setup,76
2025-01-10,9,Breakdown,20
2025-01-10,10,Quality,77
2025-01-10,11,Breakdown,49
2025-01-10,12,Breakdown,58
2025-01-10,12,Breakdown,46
2025-01-11,1,Material,77
2025-01-11,1,Material,27
2025-01-11,2,Plannedmaintenance,68
2025-01-11,3,Breakdown,87
2025-01-11,3,Material,29
2025-01-11,4,Breakdown,24
2025-01-11,4,Breakdown,89
2025-01-11,5,Breakdown,68
2025-01-11,5,Breakdown,15
2025-01-11,6,Breakdown,20
2025-01-11,6,Plannedmaintenance,88
2025-01-11,7,Setup,14
2025-01-11,8,Setup,77
2025-01-11,10,Material,34
2025-01-11,10,Breakdown,32
2025-01-11,11,Material,75
2025-01-11,11,Material,88
2025-01-11,13,Setup,30
2025-01-11,13,Quality,86
2025-01-11,15,Quality,16
2025-01-11,15,Quality,58
2025-01-12,3,Breakdown,70
2025-01-12,3,Quality,88
2025-01-12,5,Breakdown,77
2025-01-12,7,Breakdown,34
2025-01-12,13,Quality,72
2025-01-12,14,Breakdown,60
2025-01-12,14,Setup,76
2025-01-13,2,Setup,35
2025-01-13,2,Quality,44
2025-01-13,3,Material,46
2025-01-13,3,Quality,83
2025-01-13,4,Breakdown,76
2025-01-13,4,Setup,43
2025-01-13,5,Quality,18
2025-01-13,5,Quality,79
2025-01-13,6,Breakdown,47
2025-01-13,6,Setup,42
2025-01-13,7,Setup,76
2025-01-13,10,Breakdown,88
2025-01-13,11,Material,40
2025-01-13,12,Breakdown,64
2025-01-13,12,Breakdown,25
2025-01-13,13,Setup,48
2025-01-13,14,Setup,88
2025-01-13,14,Setup,65
2025-01-13,15,Quality,27
2025-01-13,15,Breakdown,11
2025-01-14,1,Breakdown,50
2025-01-14,1,Breakdown,66
2025-01-14,3,Breakdown,39
2025-01-14,3,Material,71
2025-01-14,4,Quality,16
2025-01-14,9,Setup,45
2025-01-14,9,Setup,69
2025-01-14,10,Breakdown,23
2025-01-14,11,Setup,88
2025-01-14,11,Quality,38
2025-01-14,12,Setup,40
2025-01-14,12,Setup,36
2025-01-14,13,Breakdown,42
2025-01-14,13,Quality,12
2025-01-14,14,Plannedmaintenance,83
2025-01-14,14,Breakdown,57
2025-01-14,15,Breakdown,75
2025-01-15,2,Quality,75
2025-01-15,3,Breakdown,70
2025-01-15,4,Breakdown,33
2025-01-15,6,Plannedmaintenance,60
2025-01-15,7,Setup,25
2025-01-15,10,Setup,18
2025-01-15,12,Quality,43
2025-01-15,14,Breakdown,78
2025-01-16,1,Setup,31
2025-01-16,3,Breakdown,51
2025-01-16,4,Quality,30
2025-01-16,5,Setup,44
2025-01-16,7,Breakdown,45
2025-01-16,8,Material,80
2025-01-16,8,Material,83
2025-01-16,11,Setup,89
2025-01-16,12,Material,47
2025-01-16,14,Setup,23
2025-01-16,14,Breakdown,25
2025-01-17,1,Quality,46
2025-01-17,1,Setup,61
2025-01-17,2,Plannedmaintenance,78
2025-01-17,5,Plannedmaintenance,49
2025-01-17,5,Quality,63
2025-01-17,9,Material,42
2025-01-17,10,Material,84
2025-01-17,10,Breakdown,68
2025-01-17,11,Breakdown,24
2025-01-17,11,Material,44
2025-01-17,12,Setup,36
2025-01-17,12,Plannedmaintenance,16
2025-01-17,13,Breakdown,70
2025-01-17,13,Quality,74
2025-01-18,1,Plannedmaintenance,27
2025-01-18,1,Breakdown,16
2025-01-18,2,Breakdown,62
2025-01-18,3,Setup,15
2025-01-18,3,Material,76
2025-01-18,4,Breakdown,54
2025-01-18,5,Setup,89
2025-01-18,5,Setup,37
2025-01-18,6,Setup,78
2025-01-18,7,Quality,40
2025-01-18,7,Plannedmaintenance,71
2025-01-18,8,Breakdown,11
2025-01-18,8,Breakdown,34
2025-01-18,9,Material,74
2025-01-18,9,Setup,11
2025-01-18,10,Breakdown,12
2025-01-18,10,Setup,61
2025-01-18,11,Breakdown,25
2025-01-18,11,Quality,43
2025-01-18,13,Setup,35
2025-01-18,13,Plannedmaintenance,63
2025-01-18,14,Breakdown,88
2025-01-18,14,Quality,39
2025-01-18,15,Setup,77
2025-01-18,15,Breakdown,35
2025-01-19,1,Breakdown,11
2025-01-19,1,Breakdown,51
2025-01-19,2,Material,23
2025-01-19,3,Quality,50
2025-01-19,3,Breakdown,33
2025-01-19,4,Breakdown,16
2025-01-19,4,Breakdown,44
2025-01-19,5,Breakdown,42
2025-01-19,5,Plannedmaintenance,53
2025-01-19,6,Plannedmaintenance,76
2025-01-19,6,Plannedmaintenance,69
2025-01-19,7,Plannedmaintenance,78
2025-01-19,8,Breakdown,41
2025-01-19,10,Setup,59
2025-01-19,10,Breakdown,85
2025-01-19,12,Quality,10
2025-01-19,14,Quality,19
2025-01-19,15,Breakdown,16
2025-01-19,15,Breakdown,19
2025-01-20,1,Setup,36
2025-01-20,1,Setup,33
2025-01-20,3,Setup,28
2025-01-20,3,Breakdown,61
2025-01-20,4,Breakdown,20
2025-01-20,5,Material,62
2025-01-20,7,Breakdown,13
2025-01-20,7,Breakdown,83
2025-01-20,9,Setup,33
2025-01-20,9,Breakdown,56
2025-01-20,10,Breakdown,45
2025-01-20,10,Setup,88
2025-01-20,12,Quality,79
2025-01-20,12,Plannedmaintenance,37
2025-01-20,14,Quality,37
2025-01-21,2,Quality,84
2025-01-21,4,Quality,38
2025-01-21,4,Material,79
2025-01-21,5,Material,35
2025-01-21,6,Breakdown,58
2025-01-21,6,Breakdown,56
2025-01-21,7,Setup,74
