prod_date,machine_id,shift_id,sku,units_good,units_scrap,units_total
2025-01-01,1,1,SKU037,464,35,499
2025-01-01,1,2,SKU016,348,51,399
2025-01-01,1,3,SKU001,781,80,861
2025-01-01,2,1,SKU029,421,30,451
2025-01-01,2,2,SKU001,598,13,611
2025-01-01,2,3,SKU039,728,20,748
2025-01-01,3,1,SKU021,624,59,683
2025-01-01,3,2,SKU019,254,9,263
2025-01-01,3,3,SKU022,567,74,641
2025-01-01,4,1,SKU026,558,8,566
2025-01-01,4,2,SKU003,558,26,584
2025-01-01,4,3,SKU016,689,41,730
2025-01-01,5,2,SKU016,463,41,504
2025-01-01,5,3,SKU022,605,86,691
2025-01-01,6,1,SKU007,414,14,428
2025-01-01,6,2,SKU034,258,15,273
2025-01-01,6,3,SKU039,204,20,224
2025-01-01,7,1,SKU020,724,10,734
2025-01-01,7,2,SKU027,707,89,796
2025-01-01,8,2,SKU012,287,24,311
2025-01-01,9,1,SKU008,229,6,235
2025-01-01,9,3,SKU024,541,4,545
2025-01-01,10,1,SKU016,327,11,338
2025-01-01,10,2,SKU039,725,61,786
2025-01-01,10,3,SKU019,486,23,509
2025-01-01,11,1,SKU003,215,23,238
2025-01-01,11,2,SKU015,744,13,757
2025-01-01,12,1,SKU030,456,5,461
2025-01-01,12,3,SKU021,234,20,254
2025-01-01,13,1,SKU035,413,55,468
2025-01-01,13,2,SKU021,673,90,763
2025-01-01,13,3,SKU017,760,35,795
2025-01-01,14,1,SKU001,645,77,722
2025-01-01,14,2,SKU034,451,56,507
2025-01-01,14,3,SKU033,719,67,786
2025-01-01,15,1,SKU039,507,6,513
2025-01-01,15,2,SKU030,315,9,324
2025-01-01,15,3,SKU005,307,18,325
2025-01-02,1,2,SKU014,791,40,831
2025-01-02,1,3,SKU004,771,25,796
2025-01-02,2,2,SKU018,770,59,829
2025-01-02,3,1,SKU024,548,68,616
2025-01-02,3,3,SKU018,628,86,714
2025-01-02,4,1,SKU010,457,11,468
2025-01-02,4,3,SKU021,671,80,751
2025-01-02,5,1,SKU013,630,12,642
2025-01-02,5,3,SKU026,571,33,604
2025-01-02,6,1,SKU007,230,15,245
2025-01-02,6,3,SKU009,555,9,564
2025-01-02,7,1,SKU037,487,12,499
2025-01-02,7,2,SKU024,425,19,444
2025-01-02,8,1,SKU010,576,35,611
2025-01-02,8,2,SKU026,640,5,645
2025-01-02,8,3,SKU001,658,68,726
2025-01-02,9,1,SKU033,704,11,715
2025-01-02,9,3,SKU030,726,96,822
2025-01-02,10,2,SKU021,302,1,303
2025-01-02,10,3,SKU011,351,36,387
2025-01-02,11,1,SKU010,783,66,849
2025-01-02,11,2,SKU013,554,9,563
2025-01-02,11,3,SKU007,252,0,252
2025-01-02,12,1,SKU023,763,97,860
2025-01-02,12,2,SKU022,462,45,507
2025-01-02,12,3,SKU010,314,35,349
2025-01-02,13,1,SKU023,342,40,382
2025-01-02,14,1,SKU024,403,50,453
2025-01-02,14,2,SKU013,380,35,415
2025-01-02,14,3,SKU013,388,38,426
2025-01-02,15,1,SKU035,382,7,389
2025-01-02,15,2,SKU031,729,54,783
2025-01-02,15,3,SKU008,431,40,471
2025-01-03,1,1,SKU032,257,17,274
2025-01-03,1,2,SKU027,747,92,839
2025-01-03,1,3,SKU015,396,4,400
2025-01-03,2,3,SKU029,408,1,409
2025-01-03,3,1,SKU027,328,8,336
2025-01-03,3,3,SKU023,297,11,308
2025-01-03,4,1,SKU040,594,52,646
2025-01-03,4,2,SKU005,706,14,720
2025-01-03,4,3,SKU028,698,54,752
2025-01-03,5,1,SKU016,597,48,645
2025-01-03,5,2,SKU029,348,10,358
2025-01-03,5,3,SKU014,556,6,562
2025-01-03,6,1,SKU031,547,71,618
2025-01-03,6,2,SKU012,319,35,354
2025-01-03,6,3,SKU021,279,34,313
2025-01-03,7,1,SKU006,642,87,729
2025-01-03,7,2,SKU034,383,42,425
2025-01-03,7,3,SKU034,713,19,732
2025-01-03,8,1,SKU008,730,94,824
2025-01-03,8,2,SKU016,471,6,477
2025-01-03,8,3,SKU003,665,52,717
2025-01-03,9,1,SKU034,400,22,422
2025-01-03,9,2,SKU010,511,71,582
2025-01-03,9,3,SKU031,368,14,382
2025-01-03,10,1,SKU009,648,61,709
2025-01-03,10,2,SKU036,733,20,753
2025-01-03,10,3,SKU019,586,11,597
2025-01-03,11,3,SKU029,252,28,280
2025-01-03,12,1,SKU013,584,17,601
2025-01-03,12,2,SKU008,554,62,616
2025-01-03,12,3,SKU009,466,10,476
2025-01-03,13,1,SKU016,485,2,487
2025-01-03,13,2,SKU018,525,8,533
2025-01-03,13,3,SKU016,212,22,234
2025-01-03,14,1,SKU002,698,26,724
2025-01-03,14,2,SKU037,676,13,689
2025-01-03,14,3,SKU038,795,15,810
2025-01-03,15,1,SKU006,747,92,839
2025-01-03,15,3,SKU018,255,25,280
2025-01-04,1,1,SKU040,307,8,315
2025-01-04,1,2,SKU039,467,64,531
2025-01-04,1,3,SKU031,472,64,536
2025-01-04,2,1,SKU034,661,14,675
2025-01-04,2,2,SKU003,292,1,293
2025-01-04,2,3,SKU016,387,25,412
2025-01-04,3,1,SKU029,637,5,642
2025-01-04,4,2,SKU003,436,48,484
2025-01-04,4,3,SKU010,454,2,456
2025-01-04,5,1,SKU034,273,6,279
2025-01-04,5,3,SKU008,765,20,785
2025-01-04,6,1,SKU035,359,13,372
2025-01-04,6,2,SKU022,694,53,747
2025-01-04,6,3,SKU020,521,77,598
2025-01-04,7,1,SKU016,309,40,349
2025-01-04,7,2,SKU011,281,14,295
2025-01-04,8,2,SKU005,606,87,693
2025-01-04,8,3,SKU030,503,33,536
2025-01-04,9,2,SKU020,657,30,687
2025-01-04,9,3,SKU040,239,17,256
2025-01-04,10,1,SKU010,713,93,806
2025-01-04,10,2,SKU032,697,102,799
2025-01-04,10,3,SKU031,377,47,424
2025-01-04,11,1,SKU039,641,32,673
2025-01-04,11,2,SKU013,248,27,275
2025-01-04,11,3,SKU016,751,93,844
2025-01-04,12,1,SKU024,706,98,804
2025-01-04,12,2,SKU012,508,21,529
2025-01-04,13,1,SKU004,463,55,518
2025-01-04,13,2,SKU024,681,47,728
2025-01-04,13,3,SKU029,691,97,788
2025-01-04,14,1,SKU010,449,0,449
2025-01-04,14,2,SKU028,631,31,662
2025-01-04,14,3,SKU017,325,2,327
2025-01-04,15,1,SKU023,277,2,279
2025-01-04,15,2,SKU032,209,20,229
2025-01-04,15,3,SKU039,485,29,514
2025-01-05,1,1,SKU022,513,70,583
2025-01-05,1,2,SKU030,771,64,835
2025-01-05,1,3,SKU002,759,71,830
2025-01-05,2,1,SKU002,271,25,296
2025-01-05,2,2,SKU031,244,28,272
2025-01-05,2,3,SKU024,206,5,211
2025-01-05,3,2,SKU030,472,58,530
2025-01-05,3,3,SKU031,265,21,286
2025-01-05,4,1,SKU007,479,58,537
2025-01-05,4,2,SKU025,420,42,462
2025-01-05,4,3,SKU017,443,6,449
2025-01-05,5,1,SKU023,300,33,333
2025-01-05,5,2,SKU017,479,5,484
2025-01-05,5,3,SKU031,237,11,248
2025-01-05,6,1,SKU033,428,24,452
2025-01-05,6,2,SKU034,777,51,828
2025-01-05,6,3,SKU036,220,23,243
2025-01-05,7,2,SKU016,496,41,537
2025-01-05,7,3,SKU031,606,22,628
2025-01-05,8,1,SKU024,267,7,274
2025-01-05,8,2,SKU026,375,13,388
2025-01-05,9,1,SKU018,393,25,418
2025-01-05,9,2,SKU010,548,63,611
2025-01-05,10,1,SKU038,401,16,417
2025-01-05,10,3,SKU038,611,11,622
2025-01-05,11,2,SKU003,524,38,562
2025-01-05,11,3,SKU040,452,18,470
2025-01-05,12,1,SKU034,295,20,315
2025-01-05,12,2,SKU028,474,58,532
2025-01-05,12,3,SKU015,380,11,391
2025-01-05,13,1,SKU021,623,74,697
2025-01-05,13,2,SKU031,308,33,341
2025-01-05,13,3,SKU020,467,17,484
2025-01-05,14,1,SKU003,547,20,567
2025-01-05,14,2,SKU016,425,17,442
2025-01-05,14,3,SKU026,374,26,400
2025-01-05,15,1,SKU036,578,14,592
2025-01-05,15,3,SKU009,715,32,747
2025-01-06,1,1,SKU016,240,23,263
2025-01-06,1,2,SKU017,430,45,475
2025-01-06,1,3,SKU007,282,1,283
2025-01-06,2,1,SKU013,426,30,456
2025-01-06,2,3,SKU024,572,68,640
2025-01-06,3,1,SKU031,232,11,243
2025-01-06,3,2,SKU037,462,5,467
2025-01-06,3,3,SKU020,430,28,458
2025-01-06,4,1,SKU020,281,34,315
2025-01-06,4,2,SKU006,766,32,798
2025-01-06,5,1,SKU001,310,18,328
2025-01-06,5,2,SKU007,708,1,709
2025-01-06,5,3,SKU007,297,1,298
2025-01-06,6,1,SKU011,505,13,518
2025-01-06,6,2,SKU006,443,54,497
2025-01-06,6,3,SKU017,602,14,616
2025-01-06,7,3,SKU014,229,0,229
2025-01-06,8,1,SKU027,414,47,461
2025-01-06,8,2,SKU005,772,5,777
2025-01-06,8,3,SKU036,365,17,382
2025-01-06,9,1,SKU035,698,70,768
2025-01-06,9,3,SKU037,657,65,722
2025-01-06,10,1,SKU016,542,16,558
2025-01-06,10,2,SKU039,660,33,693
2025-01-06,10,3,SKU011,211,12,223
2025-01-06,11,1,SKU029,559,34,593
2025-01-06,11,3,SKU004,402,31,433
2025-01-06,12,1,SKU004,532,14,546
2025-01-06,12,2,SKU039,468,38,506
2025-01-06,12,3,SKU038,454,61,515
2025-01-06,13,1,SKU016,712,19,731
2025-01-06,13,2,SKU017,254,29,283
2025-01-06,13,3,SKU004,285,2,287
2025-01-06,14,1,SKU032,676,21,697
2025-01-06,14,2,SKU031,763,86,849
2025-01-06,14,3,SKU011,453,8,461
2025-01-06,15,1,SKU021,270,36,306
2025-01-06,15,2,SKU021,543,44,587
2025-01-06,15,3,SKU021,250,7,257
2025-01-07,1,1,SKU011,692,62,754
2025-01-07,1,2,SKU024,577,31,608
2025-01-07,2,1,SKU019,630,71,701
2025-01-07,2,2,SKU009,644,16,660
2025-01-07,2,3,SKU016,300,31,331
2025-01-07,3,1,SKU005,215,10,225
2025-01-07,3,2,SKU039,337,10,347
2025-01-07,3,3,SKU020,367,47,414
2025-01-07,4,2,SKU019,429,18,447
2025-01-07,4,3,SKU021,246,30,276
2025-01-07,5,1,SKU009,311,7,318
2025-01-07,5,2,SKU032,479,32,511
2025-01-07,5,3,SKU009,734,101,835
2025-01-07,6,1,SKU004,543,44,587
2025-01-07,6,2,SKU021,436,8,444
2025-01-07,7,1,SKU033,682,35,717
2025-01-07,7,2,SKU003,469,60,529
2025-01-07,8,1,SKU020,513,17,530
2025-01-07,8,2,SKU015,654,7,661
2025-01-07,8,3,SKU012,687,44,731
2025-01-07,9,1,SKU019,650,93,743
2025-01-07,9,2,SKU017,225,24,249
2025-01-07,9,3,SKU016,306,3,309
2025-01-07,10,1,SKU010,772,65,837
2025-01-07,10,2,SKU024,669,32,701
2025-01-07,10,3,SKU028,651,74,725
2025-01-07,11,1,SKU024,781,64,845
2025-01-07,11,2,SKU019,549,63,612
2025-01-07,11,3,SKU020,520,48,568
2025-01-07,12,1,SKU024,281,34,315
2025-01-07,12,2,SKU022,389,23,412
2025-01-07,12,3,SKU031,423,43,466
2025-01-07,13,1,SKU022,304,25,329
2025-01-07,13,2,SKU034,690,69,759
2025-01-07,13,3,SKU037,430,15,445
2025-01-07,14,1,SKU025,709,19,728
2025-01-07,14,2,SKU037,520,25,545
2025-01-07,14,3,SKU020,481,35,516
2025-01-07,15,1,SKU037,671,17,688
2025-01-07,15,2,SKU040,514,45,559
2025-01-07,15,3,SKU030,617,12,629
2025-01-08,1,1,SKU024,789,89,878
2025-01-08,1,2,SKU031,464,55,519
2025-01-08,1,3,SKU036,668,25,693
2025-01-08,2,2,SKU001,489,33,522
2025-01-08,2,3,SKU010,504,36,540
2025-01-08,3,1,SKU007,317,13,330
2025-01-08,3,2,SKU035,329,46,375
2025-01-08,3,3,SKU006,335,17,352
2025-01-08,4,1,SKU030,368,20,388
2025-01-08,4,2,SKU002,684,77,761
2025-01-08,4,3,SKU009,442,28,470
2025-01-08,5,1,SKU031,329,43,372
2025-01-08,5,3,SKU003,641,47,688
2025-01-08,6,1,SKU011,782,51,833
2025-01-08,6,2,SKU032,761,77,838
2025-01-08,6,3,SKU006,694,49,743
2025-01-08,7,1,SKU014,783,22,805
2025-01-08,7,2,SKU028,295,39,334
2025-01-08,7,3,SKU029,255,31,286
2025-01-08,8,2,SKU014,433,58,491
2025-01-08,8,3,SKU035,240,17,257
2025-01-08,9,1,SKU023,702,59,761
2025-01-08,9,2,SKU034,607,56,663
2025-01-08,9,3,SKU040,751,91,842
2025-01-08,10,1,SKU027,669,70,739
2025-01-08,10,3,SKU036,329,22,351
2025-01-08,11,3,SKU017,764,75,839
2025-01-08,12,1,SKU017,330,37,367
2025-01-08,12,2,SKU017,468,14,482
2025-01-08,12,3,SKU016,641,13,654
2025-01-08,13,1,SKU034,652,4,656
2025-01-08,13,2,SKU023,424,50,474
2025-01-08,13,3,SKU021,340,25,365
2025-01-08,14,1,SKU012,513,57,570
2025-01-08,14,2,SKU020,393,18,411
2025-01-08,14,3,SKU026,353,5,358
2025-01-08,15,1,SKU007,653,29,682
2025-01-08,15,2,SKU012,595,3,598
